5.479049555952454353e-01,5.085964947690946314e-01,5.106102911184811077e-01,5.013478537078758235e-01,5.121830505082609619e-01,5.528623095266680387e-01,5.382356274663137041e-01,5.300344183559565492e-01,5.217228233331746567e-01,4.967294969031011420e-01
4.445814283791887922e-01,4.230916319481105026e-01,4.150385820051551433e-01,4.143103866673202851e-01,4.693309239385198839e-01,5.346364575656289420e-01,5.193899170060454207e-01,5.094934304128958535e-01,4.906218716987402750e-01,4.965289161071627655e-01
5.367057311176408607e-01,4.209561213321110218e-01,4.037162634312224108e-01,3.777447435830682543e-01,4.614628949839823524e-01,5.023279690983285528e-01,5.067159590275472913e-01,4.767135346499954407e-01,5.351591357778172631e-01,5.073127037848934595e-01
5.504916249003296569e-01,4.385853308213469859e-01,3.865763481099758758e-01,4.531286129367845805e-01,4.927641059420720948e-01,5.400215796087916020e-01,5.680664125594471203e-01,5.790735409633639419e-01,5.646197680976526856e-01,5.060076677213651841e-01
5.433096072564572721e-01,4.623400559192866743e-01,4.299324464509680643e-01,4.829389617787245848e-01,5.195727382396830851e-01,5.102153868193141095e-01,5.667292996131997329e-01,5.918196025368777091e-01,5.780909044853532741e-01,5.010727635062147689e-01
5.130089928334542471e-01,4.423480843660589912e-01,4.040493187149465371e-01,4.228955613610523856e-01,4.607008573773607729e-01,5.205850566016904102e-01,5.672858565234136785e-01,5.350667299190455806e-01,5.684186051227950731e-01,4.877158273193105131e-01
4.968821774561302251e-01,3.815105141509956832e-01,3.273269144719175849e-01,3.056800525267869273e-01,3.409343142927501180e-01,4.560561584352503806e-01,5.566426840012368427e-01,5.401622171725389832e-01,5.636632779412482641e-01,5.070402448169506471e-01
5.090382243975472010e-01,4.333564406533697566e-01,2.952646070355340879e-01,3.375062884632611948e-01,3.179544269162232206e-01,3.911805339221678390e-01,5.578099450338124266e-01,5.638000179275025614e-01,5.561832046817213326e-01,5.231248363136724588e-01
4.626294925147381165e-01,3.209177355377166307e-01,3.231033597508349842e-01,3.939839790455613167e-01,4.110899303357412049e-01,4.740363557920270754e-01,5.836854824856975155e-01,5.919713862076450006e-01,5.625965548779481296e-01,5.778993213295329223e-01
4.451535038990900306e-01,2.905578703992409140e-01,3.261266886605254101e-01,3.798535907728360916e-01,3.883038106117217558e-01,4.552506121088599755e-01,5.799652485130826207e-01,5.650697341895793979e-01,5.721736559651343645e-01,5.571288601877860680e-01
4.753562662717757403e-01,3.142049419730780224e-01,3.216130626947820703e-01,3.633599509902519786e-01,4.213452194115257510e-01,4.815285876105358520e-01,5.523674126557264197e-01,5.286534918298912977e-01,5.143094934211095426e-01,5.715160692180574209e-01
4.891391833853885873e-01,3.548064117379965965e-01,3.641443469227109708e-01,3.626132299328636011e-01,4.230979339645669079e-01,5.497890678918196938e-01,5.477864295117438331e-01,4.922744808196142796e-01,5.097258406441651513e-01,5.886539716621578266e-01
5.056718096188625999e-01,4.273616116186810809e-01,4.758326337747470491e-01,4.056723988292270655e-01,4.633649953876556316e-01,5.213609478952090370e-01,5.406343427120662293e-01,5.204691317890288715e-01,5.257787863685646768e-01,5.506769090998110405e-01
5.223754627492402935e-01,4.957062949276628272e-01,5.002909049015725751e-01,4.316071519421511571e-01,4.495801140542941554e-01,5.331219875114502349e-01,5.354825785513646075e-01,5.179738674402338816e-01,5.662473270640971945e-01,5.679621459218990864e-01
4.592252133457394581e-01,3.475316685654348259e-01,3.493397514345137900e-01,3.804564839184491620e-01,4.749286092552862937e-01,4.933113956791900234e-01,5.023829813252402854e-01,5.580379258188621350e-01,5.941335430173845245e-01,5.892293182337375868e-01
5.165461869612083534e-01,3.634060775481943173e-01,3.191269235721981845e-01,3.329360924983427727e-01,4.104810076362890303e-01,4.220066876572980963e-01,4.604667340680301257e-01,4.868224072870206975e-01,5.417311856010513793e-01,5.649081099802497619e-01
4.605761453217228074e-01,3.097328737453126646e-01,3.474143938764890915e-01,3.608175874845333531e-01,4.589810941661340293e-01,4.924693253509190849e-01,4.983401063517899354e-01,4.440196721604299790e-01,4.937495881744689008e-01,6.013472952022814733e-01
5.477602842466255950e-01,5.235161057002482021e-01,5.411317539442587199e-01,5.719874567638381091e-01,5.932765562088431199e-01,5.850304540316255686e-01,5.919025624631371052e-01,5.897149255930445033e-01,5.667556415694210425e-01,5.758274676751972132e-01
5.055097592479700364e-01,3.879543267810180440e-01,4.446724233372664203e-01,5.645781422951005046e-01,5.780555643859611736e-01,5.586911344347649244e-01,5.263235765393126098e-01,5.548768266310771802e-01,5.730920297343573555e-01,5.757682251228454229e-01
5.106138628622904907e-01,3.505846426672365457e-01,4.071699969838606936e-01,4.132893738674065509e-01,4.432719003281256898e-01,4.566318939321889481e-01,4.446544821250648649e-01,4.737973539942450518e-01,5.665026368456758110e-01,5.669534678271638262e-01
5.000717296908918641e-01,4.145307881933992800e-01,4.325910134787935291e-01,3.636353053297199378e-01,4.058095825902168219e-01,4.648599382179948170e-01,4.455608759773887484e-01,4.786562477607890220e-01,4.924433544976038468e-01,5.105660529639080014e-01
